Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,220pF,C_0603_1608Metric,-155.8,-52.6,180,bottom
C2,220pF,C_0603_1608Metric,-159.4,-61.4,180,bottom
C3,1uF,CP_EIA-3216-18_Kemet-A,-197.25,-66.4,0,bottom
C4,1uF,CP_EIA-3216-18_Kemet-A,-202.65,-66.4,180,bottom
C5,220uF,CP_Elec_6.3x7.7,-178.6,-66.4,90,bottom
C6,220uF,CP_Elec_6.3x7.7,-187.2,-66.4,90,bottom
C7,1uF,CP_EIA-3216-18_Kemet-A,-155.25,-58,0,bottom
C8,1uF,CP_EIA-3216-18_Kemet-A,-164.25,-64.2,0,bottom
C9,10uF,CP_EIA-3216-18_Kemet-A,-166.4,-69.8,90,bottom
C10,10uF,CP_EIA-3216-18_Kemet-A,-167.6,-75.05,270,bottom
C11,10uF,CP_EIA-3216-18_Kemet-A,-166.15,-81,0,bottom
C12,0.1uF,C_0603_1608Metric,-164.2,-70,90,bottom
C13,0.1uF,C_1206_3216Metric,-165,-75,270,bottom
C14,0.1uF,C_0603_1608Metric,-162.6,-81.4,270,bottom
C15,10uF,CP_EIA-3216-18_Kemet-A,-152.6,-70.35,90,bottom
C16,0.1uF,C_0603_1608Metric,-152.8,-77.9875,90,bottom
C17,0.1uF,C_0603_1608Metric,-150.2,-70.6,270,bottom
C18,1uF,CP_EIA-3216-18_Kemet-A,-104.8,-64.2,0,bottom
C19,10uF,C_0603_1608Metric,-150.6,-78,270,bottom
C20,1uF,CP_EIA-3216-18_Kemet-A,-112.2,-80,90,bottom
R1,5.6k,R_0805_2012Metric,-157,-49.5375,270,bottom
R2,5.6k,R_0805_2012Metric,-164.6625,-61.6,180,bottom
R3,100,R_0805_2012Metric,-196.8,-61.4,180,bottom
R4,100,R_0805_2012Metric,-203.0625,-61.6,0,bottom
R5,5.6k,R_0805_2012Metric,-155.8,-54.8,0,bottom
R6,5.6k,R_0805_2012Metric,-159.2625,-63.4,0,bottom
R7,47k,R_0805_2012Metric,-196.8625,-63.8,180,bottom
R8,47k,R_0805_2012Metric,-203.0625,-64,0,bottom
R9,47k,R_0805_2012Metric,-174.8,-61.4,180,bottom
R10,47k,R_0805_2012Metric,-183.4,-61.4,0,bottom
U1,MCP3004,SOIC-14_3.9x8.7mm_P1.27mm,-107,-58.8,270,bottom
U3,MCP3004,SOIC-14_3.9x8.7mm_P1.27mm,-106.8,-77.2,0,bottom
