Comment,Designator,Footprint,LCSC
220pF,"C1,C2",Capacitor_SMD:C_0603_1608Metric,C1603
0.1uF,C13,Capacitor_SMD:C_1206_3216Metric,C24497
10uF,"C9,C10,C11,C15",Capacitor_Tantalum_SMD:CP_EIA-3216-18_Kemet-A,C7171
0.1uF,"C12,C14,C16,C17",Capacitor_SMD:C_0603_1608Metric,C14663
10uF,C19,Capacitor_SMD:C_0603_1608Metric,C7171
220uF,"C5,C6",Capacitor_SMD:CP_Elec_6.3x7.7,C127327
1uF,"C3,C4,C7,C8,C18,C20",Capacitor_Tantalum_SMD:CP_EIA-3216-18_Kemet-A,C7176
LineIN,J1,custom:Jack_3.5mm_CUI_SJ1-3533NG_Horizontal,
LineOUT,J2,custom:Jack_3.5mm_CUI_SJ1-3533NG_Horizontal,
Headphones,J3,custom:Jack_3.5mm_CUI_SJ1-3533NG_Horizontal,
Raspberry_Pi_4,J4,custom:PinHeader_2x20_P2.54mm_Vertical_RaspberryPI_HAT,
CVs+CLK_connector,J5,Connector_PinHeader_2.54mm:PinHeader_1x04_P2.54mm_Vertical,
NHD-2.23-12832UCB3,J6,custom:Display_NHD-2.23-12832,
5.6k,"R1,R2,R5,R6",Resistor_SMD:R_0805_2012Metric,C4382
100,"R3,R4",Resistor_SMD:R_0805_2012Metric,C17408
47k,"R7,R8,R9,R10",Resistor_SMD:R_0805_2012Metric,C17713
10k,"RV1,RV2,RV3,RV4",Potentiometer_THT:Potentiometer_Alps_RK09L_Single_Vertical,
BTN_f,SW1,custom:SW_PUSH-12mm+3d,
BTN_big,SW2,custom:SW_PUSH_e-switch_PB300_SPST_12x12,
BTN_1,SW3,custom:SW_PUSH-12mm+3d,
BTN_2,SW4,custom:SW_PUSH-12mm+3d,
BTN_3,SW5,custom:SW_PUSH-12mm+3d,
MCP3004,"U1,U3",Package_SO:SOIC-14_3.9x8.7mm_P1.27mm,C512186
WM8731,U2,custom:SSOP28-0.65-10.2X5.2MM,C323837
