Components list,">>(watch out: we want GRAPHICS display modules, not CHATACTER)",
,,
,,
Name,link,comments
pi header,https://www.adafruit.com/product/1992,
cool norns display,https://www.digikey.com/en/products/detail/newhaven-display-intl/NHD-2-7-12864WDW3/7355953,"not SPI left, parallel?"
Same ^ but smaller,https://www.newhavendisplay.com/nhd22312832ucy3-p-3787.html,"I2S, SPI, "
I2C euro qwicc sparkfun 128x128,https://www.sparkfun.com/products/15890,17 euro
,,
loads of bare oleds,https://it.rs-online.com/web/c/display-e-optoelettronica/display-e-monitor-industriali/display-oled/,
4D systems colored small ,https://fr.rs-online.com/web/p/ecrans-tftlcd/1647079/,
